,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,release_location_name,hatchery_location_name,release_location_rmis_basin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
0,NaN,5,3,2015,20160316,20160316,3F10511 100029 R,3F10511 100029 H,F,FR,51,NaN,NaN,NaN,NaN,0,66820,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,66820,0
1,16,3,4,2015,20160424,20160509,3F10511 100031 R,3F10511 100029 H,S,VO,NaN,NaN,NaN,NaN,NaN,0,828,NaN,NaN,B,NaN,WHITE R 10.0031,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,828,0
2,12,2,3,2020,20220523,20220523,3F10511 100600 R04,3F10511 100414 H,S,FR,145,5000,51110,NaN,NaN,5000,10889,NaN,NaN,B,0.0129,KAPOWSIN LK NET PENS,VOIGHTS CR HATCHERY,PUYA,51110,0,10889,0,0
3,NaN,5,3,2017,20180308,20180308,3F10511 100029 R,3F10511 100029 H,F,VO,50,NaN,NaN,NaN,NaN,0,89800,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,89800,0
4,NaN,5,3,2017,20180312,20180312,3F10511 100029 R,3F10511 100029 H,F,VO,49,NaN,NaN,NaN,NaN,0,707850,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,707850,0
5,NaN,5,3,2017,20180320,20180320,3F10511 100029 R,3F10511 100029 H,F,VO,49,NaN,NaN,NaN,NaN,0,367800,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,367800,0
6,NaN,5,3,2017,20180308,20180308,3F10511 100029 R,3F10511 100029 H,F,VO,51,NaN,NaN,NaN,NaN,0,91920,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91920,0
7,NaN,5,3,2017,20180327,20180327,3F10511 100029 R,3F10511 100029 H,F,VO,52,NaN,NaN,NaN,NaN,0,91900,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91900,0
8,NaN,5,3,2017,20180308,20180308,3F10511 100029 R,3F10511 100029 H,F,VO,50,NaN,NaN,NaN,NaN,0,89800,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,89800,0
9,NaN,2,3,2016,20180515,20180515,3F10511 100027 H01,3F10511 100414 H,S,FR,125,NaN,NaN,NaN,NaN,5000,144190,NaN,NaN,B,NaN,CLARKS CRK HATCHERY,VOIGHTS CR HATCHERY,PUYA,0,0,144190,0,0
10,NaN,5,3,2017,20180327,20180327,3F10511 100029 R,3F10511 100029 H,F,VO,51,NaN,NaN,NaN,NaN,0,91900,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91900,0
11,NaN,5,3,2017,20180330,20180330,3F10511 100029 R,3F10511 100029 H,F,VO,41,NaN,NaN,NaN,NaN,0,198000,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,198000,0
12,NaN,5,3,2017,20180221,20180221,3F10511 100029 R,3F10511 100029 H,E,VO,NaN,NaN,NaN,NaN,NaN,0,88100,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,88100,0
13,NaN,5,3,2019,20200323,20200323,3F10511 100029 R,3F10511 100029 H,F,FR,55,NaN,NaN,NaN,NaN,0,98300,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,98300,0
14,NaN,5,3,2017,20180304,20180304,3F10511 100029 R,3F10511 100029 H,E,VO,35,NaN,NaN,NaN,NaN,0,360600,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,360600,0
15,NaN,5,3,2017,20180308,20180308,3F10511 100029 R,3F10511 100029 H,F,VO,NaN,NaN,NaN,NaN,NaN,0,91920,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91920,0
16,16,3,4,2019,20200328,20200328,3F10511 100080 R,3F10511 100029 H,S,FR,180,NaN,NaN,NaN,NaN,0,30200,NaN,NaN,B,NaN,CLEARWATER R 10.0080,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,30200,0
17,NaN,5,3,2017,20180403,20180403,3F10511 100029 R,3F10511 100029 H,F,VO,53,NaN,NaN,NaN,NaN,0,283100,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,283100,0
18,NaN,5,3,2019,20200417,20200417,3F10511 100029 R,3F10511 100029 H,F,FR,58,NaN,NaN,NaN,NaN,0,83550,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,83550,0
19,12,2,3,2016,20180515,20180515,3F10511 10 R73,3F10511 100414 H,S,FR,120,5000,97436,NaN,NaN,5000,2564,NaN,NaN,B,0.0256,COWSKL & RUSHWTR PDS,VOIGHTS CR HATCHERY,PUYA,97436,0,2564,0,0
20,NaN,5,3,2019,20200408,20200408,3F10511 100029 R,3F10511 100029 H,F,FR,53,NaN,NaN,NaN,NaN,0,83550,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,83550,0
21,NaN,5,3,2021,20220217,20220217,3F10511 100027 R,3F10511 100029 H,F,FR,38,NaN,NaN,NaN,NaN,0,14730,NaN,NaN,B,NaN,CLARKS CR 10.0027,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,14730,0
22,NaN,5,3,2016,20170309,20170309,3F10511 100029 R,3F10511 100029 H,F,FR,50,NaN,NaN,NaN,NaN,0,91939,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91939,0
23,16,3,4,2016,20170524,20170524,3F10511 100129 R,3F10511 100029 H,S,FR,152,NaN,NaN,NaN,NaN,0,27625,NaN,NaN,B,NaN,28 MILE CR 10.0129,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,27625,0
24,NaN,5,3,2016,20170309,20170309,3F10511 100029 R,3F10511 100029 H,F,FR,52,NaN,NaN,NaN,NaN,0,91940,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91940,0
25,NaN,5,3,2016,20170309,20170309,3F10511 100029 R,3F10511 100029 H,F,FR,49,NaN,NaN,NaN,NaN,0,91942,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,91942,0
26,NaN,5,3,2016,20170317,20170317,3F10511 100029 R,3F10511 100029 H,F,FR,53,NaN,NaN,NaN,NaN,0,100300,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,100300,0
27,NaN,5,3,2021,20220228,20220228,3F10511 100029 R,3F10511 100029 H,F,FR,52,NaN,NaN,NaN,NaN,0,83795,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,83795,0
28,NaN,5,3,2016,20170317,20170317,3F10511 100029 R,3F10511 100029 H,F,FR,49,NaN,NaN,NaN,NaN,0,234000,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,234000,0
29,NaN,5,3,2021,20220304,20220304,3F10511 100027 R,3F10511 100029 H,F,FR,42,NaN,NaN,NaN,NaN,0,14522,NaN,NaN,B,NaN,CLARKS CR 10.0027,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,14522,0
30,NaN,5,3,2016,20170413,20170413,3F10511 100029 R,3F10511 100029 H,F,FR,52,NaN,NaN,NaN,NaN,0,79350,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,79350,0
31,NaN,5,3,2016,20170425,20170425,3F10511 100029 R,3F10511 100029 H,F,FR,51,NaN,NaN,NaN,NaN,0,81350,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,81350,0
32,NaN,5,3,2021,20220316,20220316,3F10511 100029 R,3F10511 100029 H,F,FR,54,NaN,NaN,NaN,NaN,0,104900,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,104900,0
33,NaN,5,3,2016,20170420,20170420,3F10511 100029 R,3F10511 100029 H,F,FR,33,NaN,NaN,NaN,NaN,0,221540,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,221540,0
34,NaN,5,3,2021,20220304,20220304,3F10511 100027 R,3F10511 100029 H,F,FR,42,NaN,NaN,NaN,NaN,0,14236,NaN,NaN,B,NaN,CLARKS CR 10.0027,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,14236,0
35,NaN,5,3,2021,20220311,20220311,3F10511 100029 R,3F10511 100029 H,F,FR,52,NaN,NaN,NaN,NaN,0,104980,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,104980,0
36,NaN,5,3,2016,20170324,20170324,3F10511 100029 R,3F10511 100029 H,F,FR,NaN,NaN,NaN,NaN,NaN,0,300800,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,300800,0
37,NaN,5,3,2016,20170323,20170323,3F10511 100029 R,3F10511 100029 H,F,FR,46,NaN,NaN,NaN,NaN,0,560000,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,560000,0
38,NaN,5,3,2016,20170327,20170327,3F10511 100029 R,3F10511 100029 H,F,FR,49,NaN,NaN,NaN,NaN,0,100300,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,100300,0
39,NaN,5,3,2016,20170413,20170413,3F10511 100029 R,3F10511 100029 H,F,FR,53,NaN,NaN,NaN,NaN,0,79350,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,79350,0
40,NaN,5,3,2020,20210308,20210308,3F10511 100029 R,3F10511 100029 H,F,FR,NaN,NaN,NaN,NaN,NaN,0,283005,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,283005,0
41,NaN,5,3,2020,20210217,20210217,3F10511 100029 R,3F10511 100029 H,F,FR,NaN,NaN,NaN,NaN,NaN,0,190470,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,190470,0
42,12,2,3,2015,20170518,20170518,3F10511 100625 R01,3F10511 100414 H,S,FR,125,5000,97908,0,1194,5000,398,NaN,NaN,B,0.004,RUSHINGWATER AC POND,VOIGHTS CR HATCHERY,PUYA,97908,1194,398,0,0
43,NaN,5,3,2020,20210319,20210319,3F10511 100029 R,3F10511 100029 H,F,FR,NaN,NaN,NaN,NaN,NaN,0,59980,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,59980,0
44,16,3,4,2020,20210430,20210430,3F10511 100080 R,3F10511 100029 H,S,FR,NaN,NaN,NaN,NaN,NaN,0,18270,NaN,NaN,B,NaN,CLEARWATER R 10.0080,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,18270,0
45,16,3,4,2020,20210505,20210505,3F10511 100080 R,3F10511 100029 H,S,FR,NaN,NaN,NaN,NaN,NaN,0,10553,NaN,NaN,B,NaN,CLEARWATER R 10.0080,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,10553,0
46,NaN,5,3,2020,20210406,20210406,3F10511 100029 R,3F10511 100029 H,F,FR,NaN,NaN,NaN,NaN,NaN,0,7500,NaN,NaN,B,NaN,DIRU CR 10.0029,PUYALLUP TRIBAL HATCHERY,PUYA,0,0,0,7500,0
