"","Season","Temperature Difference","Flow","Flow Difference","Lunar Phase","Hatchery, day","Hatchery, night","deltaAICc"
"56",0.04,-0.16,NA,0.08,NA,0.05,0.03,0
"62",0.04,-0.16,NA,0.08,0.01,0.05,0.03,0.33
"61",0.04,-0.16,0,0.08,NA,0.05,0.03,2.09
"63",0.04,-0.16,0,0.08,0.01,0.05,0.03,2.42
"38",0.04,-0.15,NA,0.07,NA,NA,NA,13.77
"48",0.04,-0.15,0.01,0.07,NA,NA,NA,15.09
"52",0.04,-0.15,NA,0.08,0.01,NA,NA,15.14
"57",0.04,-0.15,0.01,0.07,0.01,NA,NA,16.42
"51",NA,-0.16,0.02,0.09,NA,0.04,0.03,19.61
"60",NA,-0.16,0.02,0.09,0.01,0.04,0.03,19.95
"41",NA,-0.17,NA,0.09,NA,0.04,0.04,22.16
"55",NA,-0.16,NA,0.09,0.01,0.05,0.04,22.6
"39",0.04,-0.15,NA,NA,NA,0.05,0.02,25.14
"53",0.04,-0.15,NA,NA,0.01,0.05,0.02,26.02
"49",0.04,-0.15,0.01,NA,NA,0.05,0.02,26.79
"58",0.04,-0.15,0.01,NA,0.01,0.05,0.02,27.64
"29",NA,-0.15,0.03,0.08,NA,NA,NA,31.25
"45",NA,-0.15,0.03,0.08,0.01,NA,NA,32.55
"16",0.05,-0.15,NA,NA,NA,NA,NA,35.96
"26",0.04,-0.14,0.01,NA,NA,NA,NA,36.2
"32",0.05,-0.15,NA,NA,0,NA,NA,37.57
"42",0.04,-0.14,0.01,NA,0.01,NA,NA,37.73
"19",NA,-0.16,NA,0.09,NA,NA,NA,38.05
"35",NA,-0.16,NA,0.09,0.01,NA,NA,39.54
"30",NA,-0.15,0.03,NA,NA,0.04,0.03,49.32
"46",NA,-0.15,0.03,NA,0.01,0.04,0.03,50.17
"20",NA,-0.16,NA,NA,NA,0.05,0.03,57.26
"9",NA,-0.14,0.03,NA,NA,NA,NA,57.34
"36",NA,-0.16,NA,NA,0.01,0.05,0.03,58.26
"23",NA,-0.14,0.03,NA,0.01,NA,NA,58.87
"4",NA,-0.16,NA,NA,NA,NA,NA,70.17
"13",NA,-0.16,NA,NA,0,NA,NA,71.9
"50",0.03,NA,0.02,0.07,NA,0.04,0.02,82.8
"59",0.03,NA,0.02,0.07,0.01,0.04,0.02,82.9
"40",0.04,NA,NA,0.07,NA,0.04,0.02,84.43
"54",0.04,NA,NA,0.07,0.01,0.04,0.02,84.58
"27",0.03,NA,0.02,0.07,NA,NA,NA,87.56
"43",0.03,NA,0.02,0.07,0.01,NA,NA,88.44
"17",0.04,NA,NA,0.07,NA,NA,NA,91.9
"33",0.04,NA,NA,0.07,0.01,NA,NA,92.92
"31",NA,NA,0.04,0.08,NA,0.03,0.02,95.79
"47",NA,NA,0.04,0.08,0.01,0.03,0.03,95.88
"28",0.04,NA,0.02,NA,NA,0.04,0.01,100.04
"10",NA,NA,0.04,0.07,NA,NA,NA,100.19
"44",0.04,NA,0.02,NA,0.01,0.04,0.01,100.64
"24",NA,NA,0.04,0.08,0.01,NA,NA,101.08
"8",0.04,NA,0.03,NA,NA,NA,NA,103.17
"18",0.05,NA,NA,NA,NA,0.05,0.01,103.85
"22",0.04,NA,0.03,NA,0.01,NA,NA,104.32
"34",0.05,NA,NA,NA,0.01,0.05,0.02,104.52
"21",NA,NA,NA,0.09,NA,0.04,0.03,109.45
"37",NA,NA,NA,0.09,0.01,0.04,0.03,109.71
"3",0.05,NA,NA,NA,NA,NA,NA,109.73
"12",0.05,NA,NA,NA,0.01,NA,NA,111.02
"11",NA,NA,0.04,NA,NA,0.03,0.02,117.46
"25",NA,NA,0.04,NA,0.01,0.04,0.02,118.05
"5",NA,NA,NA,0.09,NA,NA,NA,119.39
"1",NA,NA,0.05,NA,NA,NA,NA,120.1
"14",NA,NA,NA,0.09,0.01,NA,NA,120.61
"7",NA,NA,0.05,NA,0.01,NA,NA,121.26
"6",NA,NA,NA,NA,NA,0.05,0.03,139.16
"15",NA,NA,NA,NA,0.01,0.05,0.03,139.97
"2",NA,NA,NA,NA,0.01,NA,NA,149.03
