"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery_day","hatchery_night","AICc","deltaAICc"
"112",0.049696856331476,NA,-0.0463069301072572,-0.0260243310623822,0.065577584621923,NA,0.0252637592348376,-0.00429215262823927,2704.82416857518,0
"125",0.0489454284462868,-0.00544771113141405,-0.0522365029575301,-0.0263585439911926,0.0610953981381801,NA,0.0175174371066372,-0.0099270709635026,2705.71511540086,0.890946825675655
"79",0.0505483858446122,NA,NA,-0.0215683447691719,0.0583382966958754,NA,0.0209825341340961,-0.00949866098291196,2706.25048493166,1.42631635648058
"123",0.0496761122130056,NA,-0.0464893972956337,-0.0260326019237024,0.065925812466521,0.000885952568558943,0.025227258854184,-0.00432539605094572,2706.95999247047,2.13582389529029
"127",0.0489549143757102,-0.0054292605110799,-0.0522685662429036,-0.0263201629224681,0.0613118474291737,0.000621034590163096,0.017532926291056,-0.00994297255646433,2707.87096158587,3.04679301068563
"111",0.0501511733934632,-0.00330007576323529,NA,-0.0214002565734115,0.0550330760708261,NA,0.0159617374449834,-0.0133143702081584,2707.91860641302,3.09443783783809
"104",0.0505538155653869,NA,NA,-0.021557421103155,0.0585005026771831,0.000399387136367149,0.0209803326552813,-0.00949408471522251,2708.40559815173,3.58142957654218
"109",0.0476387834090239,-0.00647077263157551,-0.0612317058864574,-0.0271393254486182,0.0627277059760744,NA,NA,NA,2709.94547149276,5.12130291757649
"122",0.0501460540347537,-0.0033060492954949,NA,-0.0214071918379328,0.0551208985839326,0.000159125134879478,0.0159268520626104,-0.0133392118757691,2710.08219366956,5.25802509437199
"77",0.0469858407513103,NA,-0.0412013062304881,-0.0224138856532691,0.0714735249928572,NA,NA,NA,2711.20680139069,6.38263281550462
"59",0.0529730050776353,NA,NA,NA,0.0556375330777964,NA,0.0148679424621338,-0.0144658362320977,2712.05547201203,7.23130343684306
"120",0.0476167477377732,-0.00645839715725102,-0.0613714206628091,-0.0271641986218773,0.0629652090225447,0.000657867298913329,NA,NA,2712.08961924734,7.26545067215602
"36",0.0488646367180383,NA,NA,-0.0206078406295837,0.0614286384690435,NA,NA,NA,2712.53349873669,7.70933016150775
"97",0.0528130389577831,NA,-0.0227757537059295,NA,0.0588857847690891,NA,0.0163794197802983,-0.0123932392550089,2713.26891370783,8.4447451326414
"102",0.0469683175098906,NA,-0.0416306498070311,-0.0224527351426024,0.0719998745965822,0.00124934475377993,NA,NA,2713.30697997111,8.482811395922
"96",0.0525179590769272,-0.00367328734163379,NA,NA,0.0520044206792301,NA,0.0093273010024226,-0.0186648673262716,2713.60384494603,8.77967637084112
"75",0.049498978693508,-0.00260550391180267,NA,-0.0221617664703069,0.0559040513892082,NA,NA,NA,2713.98956370493,9.16539512974259
"89",0.0529625387883503,NA,NA,NA,0.0559025705936799,0.000772914637864824,0.0148352372808807,-0.0144913732480574,2714.18991379015,9.36574521496141
"119",0.0521630734038624,-0.00487770925611581,-0.0278465532925081,NA,0.054781905584981,NA,0.00934345467980744,-0.0175261647515972,2714.41657525825,9.59240668306347
"66",0.048869610070278,NA,NA,-0.0205972453478614,0.0615590966531613,0.000514365864028215,NA,NA,2714.67487167735,9.85070310216224
"117",0.0527765676213998,NA,-0.0230841211026069,NA,0.0593514363958669,0.00106481476943661,0.0163069219694319,-0.0124253732907648,2715.38863400332,10.5644654281318
"116",0.0525218352459529,-0.00366094685859547,NA,NA,0.0521320814106426,0.000522823215748912,0.00930434110726733,-0.0186522269649601,2715.75392455292,10.9297559777328
"100",0.0495088841757691,-0.00262124021974508,NA,-0.0221318419950421,0.0558632821292992,0.00014859650742815,NA,NA,2716.14439750134,11.3202289261562
"126",0.0522013812823138,-0.00477023090319426,-0.0276262992366164,NA,0.0553860788156475,0.000850047110772606,0.00948337993942522,-0.0175461118680977,2716.56111369924,11.7369451240565
"110",0.0523538055840564,-0.00959129248732571,-0.0366823644509183,-0.0230931516180154,NA,NA,0.0164609117094708,-0.0117735379423997,2716.61975341969,11.7955848445054
"76",0.0529821978323728,-0.00774623971904296,NA,-0.0197112037610727,NA,NA,0.0153973265800869,-0.0140919915120995,2716.65176295123,11.8275943760414
"37",0.0544281153797144,NA,NA,-0.0199073216388588,NA,NA,0.0281752004208951,-0.0044686719073083,2717.39118394494,12.567015369757
"21",0.0531554420955871,NA,NA,NA,0.053333628196211,NA,NA,NA,2718.57805627794,13.7538877027605
"78",0.0542319403582516,NA,-0.0233996858696588,-0.022018606338215,NA,NA,0.0307228114209772,-0.00154010021952232,2718.58960755127,13.7654389760896
"57",0.0519817290070946,NA,-0.0319186995832904,NA,0.0606179627092617,NA,NA,NA,2718.62071831078,13.7965497355917
"121",0.0523336443344258,-0.00962979995199008,-0.03653959748665,-0.0231573026091718,NA,-0.0019595663735563,0.0164198336949343,-0.0117797538834327,2718.64533512988,13.8211665546992
"101",0.0529585996253732,-0.00778362655962556,NA,-0.0198220905319856,NA,-0.00206829731080092,0.015387820235726,-0.0141069651891891,2718.6539127156,13.8297441404184
"67",0.0544122961636861,NA,NA,-0.0199571754821372,NA,-0.00190494888372449,0.0281913247159462,-0.00442717615120212,2719.41641890887,14.592250333686
"94",0.0526013717495482,-0.00234353944277718,-0.0384695734726396,NA,0.0566896038057258,NA,NA,NA,2720.27148741306,15.4473188378761
"103",0.0542279959719575,NA,-0.023238777771035,-0.0220947157126547,NA,-0.00179297240281823,0.0307863132489675,-0.00150889597297696,2720.63445972219,15.8102911470023
"46",0.0531561091844047,NA,NA,NA,0.0535158873227899,0.000573115968978046,NA,NA,2720.71292373522,15.888755160031
"55",0.0532519933335141,-0.000270550190922089,NA,NA,0.0527613100755093,NA,NA,NA,2720.71789176302,15.8937231878344
"87",0.0519595820894444,NA,-0.0322744145616946,NA,0.0610631717105955,0.00114739914815785,NA,NA,2720.72217764957,15.8980090743908
"56",0.055033246187352,-0.00788453344468212,NA,NA,NA,NA,0.00924009559098975,-0.0190345981711306,2721.12707970801,16.3029111328242
"74",0.0513554832805761,-0.0101344719238749,-0.0463427670085669,-0.0242695262169251,NA,NA,NA,NA,2721.49205964955,16.667891074369
"22",0.0564910832042425,NA,NA,NA,NA,NA,0.0221492183676052,-0.00927905463776408,2721.94364964985,17.1194810746633
"114",0.0525790119022264,-0.00230454464645413,-0.0386586491266568,NA,0.0570470684673357,0.000934319899831674,NA,NA,2722.39625189501,17.5720833198307
"95",0.0549060012286412,-0.00870943607851174,-0.0164553490117732,NA,NA,NA,0.0092814849018816,-0.0183490645090272,2722.80701250539,17.9828439302105
"85",0.0532384689848841,-0.000237772951848746,NA,NA,0.0530044576804716,0.000558964776368591,NA,NA,2722.85828379438,18.0341152191977
