"","season","temp_anomaly","flow_anomaly","hatchery_day","hatchery_night","AICc","deltaAICc"
"13",0.0554113299431316,NA,-0.0165162859001172,0.19884452291319,0.0553868234488689,2598.70792946357,0
"15",0.0536738015688826,0.0183599172066408,-0.0180901021044567,0.197577395079819,0.0539190140710034,2598.78685972564,0.0789302620642047
"10",0.0543877454394449,NA,NA,0.194809953289431,0.0486851089938582,2599.84474025131,1.13681078774107
"14",0.0528154586826133,0.0140514552052734,NA,0.193520233880461,0.0465647176774694,2600.75983095519,2.05190149162081
"8",0.0521124964348583,0.0153716765382178,NA,NA,NA,2609.04880836704,10.3408789034725
"3",0.0532639122603954,NA,NA,NA,NA,2609.13119105527,10.4232615917026
"11",0.0522239938041781,0.0172713608537895,-0.00735260830880436,NA,NA,2610.14140460941,11.4334751458337
"6",0.05732240564834,NA,-0.0103581798444949,NA,NA,2620.12856690322,21.4206374396467
"9",NA,0.0257709304367607,NA,0.223688398443586,0.0685245556182768,2635.65509578537,36.947166321796
"4",NA,NA,NA,0.224382683583253,0.0713134924869688,2636.17043164889,37.4625021853194
"12",NA,0.028604808902078,-0.0156142178008227,0.22598805646968,0.0727052695972061,2636.22223524818,37.5143057846067
"7",NA,NA,-0.0126183487562122,0.226216624061551,0.0749579744541886,2637.29657094462,38.5886414810516
"2",NA,0.0279845070728379,NA,NA,NA,2663.49650215651,64.7885726929417
"5",NA,0.0298409414747309,-0.0100956269083575,NA,NA,2664.97647178829,66.268542324714
"1",NA,NA,-0.00678343571038082,NA,NA,2666.283436391,67.5755069274323
