"","season","temp_anomaly","flow_anomaly","flow_diff","temp_diff","hatchery","AICc","deltaAICc"
"26",0.09,NA,-0.03,0.07,NA,NA,1320.81,0
"49",0.09,NA,-0.03,0.07,NA,0.03,1321.63,0.82
"42",0.09,0.01,-0.03,0.06,NA,NA,1322.32,1.51
"48",0.09,NA,-0.03,0.07,-0.01,NA,1322.92,2.11
"58",0.09,0.01,-0.03,0.06,NA,0.03,1323.09,2.28
"61",0.09,NA,-0.03,0.07,-0.01,0.03,1323.73,2.92
"57",0.09,0.01,-0.03,0.07,-0.01,NA,1324.41,3.6
"63",0.09,0.01,-0.03,0.06,-0.01,0.03,1325.17,4.36
"16",0.09,NA,NA,0.04,NA,NA,1327.88,7.07
"39",0.09,NA,NA,0.04,NA,0.02,1329.62,8.81
"38",0.09,NA,NA,0.04,0.01,NA,1329.98,9.17
"32",0.09,0,NA,0.04,NA,NA,1329.99,9.18
"56",0.09,NA,NA,0.04,0.01,0.02,1331.72,10.91
"53",0.09,0,NA,0.04,NA,0.02,1331.74,10.93
"52",0.09,0,NA,0.04,0.01,NA,1332.1,11.29
"40",0.09,NA,NA,NA,0.02,0.03,1333.16,12.35
"33",0.09,0.01,NA,NA,0.02,NA,1333.4,12.59
"8",0.09,NA,-0.03,NA,NA,NA,1333.64,12.83
"62",0.09,0,NA,0.04,0.01,0.02,1333.86,13.05
"22",0.09,0.02,-0.03,NA,NA,NA,1334.53,13.72
"54",0.09,0.01,NA,NA,0.02,0.02,1334.55,13.74
"28",0.09,NA,-0.03,NA,NA,0.03,1334.81,14
"44",0.09,0.02,-0.03,NA,NA,0.03,1335.72,14.91
"27",0.09,NA,-0.03,NA,0.01,NA,1335.75,14.94
"43",0.09,0.02,-0.03,NA,0,NA,1336.7,15.89
"50",0.09,NA,-0.03,NA,0.01,0.03,1336.93,16.12
"3",0.09,NA,NA,NA,NA,NA,1337.47,16.66
"59",0.09,0.02,-0.03,NA,0,0.03,1337.89,17.08
"17",0.09,NA,NA,NA,0.02,NA,1339.14,18.33
"18",0.09,NA,NA,NA,NA,0.02,1339.3,18.49
"12",0.09,0,NA,NA,NA,NA,1339.54,18.73
"34",0.09,0,NA,NA,NA,0.01,1341.4,20.6
"30",NA,NA,-0.05,0.05,NA,0.07,1374.6,53.79
"11",NA,NA,-0.04,NA,NA,0.07,1375.16,54.35
"51",NA,NA,-0.06,0.06,-0.03,0.07,1376.26,55.45
"9",NA,NA,-0.05,0.06,NA,NA,1376.65,55.84
"46",NA,-0.01,-0.05,0.06,NA,0.07,1376.71,55.9
"25",NA,0.01,-0.04,NA,NA,0.07,1376.92,56.11
"31",NA,NA,-0.04,NA,-0.01,0.07,1377.14,56.33
"6",NA,NA,NA,NA,NA,0.06,1377.17,56.36
"1",NA,NA,-0.03,NA,NA,NA,1377.5,56.69
"29",NA,NA,-0.05,0.06,-0.03,NA,1378.27,57.46
"60",NA,0,-0.06,0.06,-0.03,0.07,1378.43,57.62
"47",NA,0.02,-0.05,NA,-0.03,0.07,1378.51,57.7
"20",NA,NA,NA,0.03,NA,0.06,1378.57,57.76
"23",NA,-0.01,-0.05,0.06,NA,NA,1378.73,57.92
"7",NA,0.02,-0.04,NA,NA,NA,1379.24,58.43
"21",NA,NA,NA,NA,0,0.06,1379.31,58.5
"15",NA,0,NA,NA,NA,0.06,1379.32,58.52
"10",NA,NA,-0.04,NA,-0.01,NA,1379.48,58.67
"4",NA,NA,NA,0.03,NA,NA,1379.54,58.73
"36",NA,-0.02,NA,0.04,NA,0.06,1380.39,59.58
"45",NA,0,-0.05,0.06,-0.03,NA,1380.43,59.62
"2",NA,0,NA,NA,NA,NA,1380.58,59.77
"5",NA,NA,NA,NA,0,NA,1380.59,59.78
"41",NA,NA,NA,0.03,0,0.06,1380.72,59.91
"24",NA,0.02,-0.04,NA,-0.03,NA,1380.83,60.02
"13",NA,-0.02,NA,0.04,NA,NA,1381.34,60.53
"37",NA,0,NA,NA,0,0.06,1381.46,60.66
"19",NA,NA,NA,0.03,0,NA,1381.69,60.88
"55",NA,-0.02,NA,0.04,0.01,0.06,1382.48,61.67
"14",NA,0,NA,NA,0,NA,1382.73,61.92
"35",NA,-0.02,NA,0.05,0.01,NA,1383.47,62.66
