"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery","AICc","deltaAICc"
"36",0.08,NA,NA,-0.03,0.05,NA,NA,1318.6,0
"75",0.08,0,NA,-0.03,0.04,NA,NA,1319.75,1.15
"79",0.08,NA,NA,-0.03,0.05,NA,0,1320.14,1.53
"66",0.08,NA,NA,-0.03,0.05,0,NA,1320.19,1.58
"77",0.08,NA,0,-0.03,0.05,NA,NA,1320.75,2.15
"100",0.08,0,NA,-0.03,0.04,-0.01,NA,1321.18,2.58
"109",0.08,-0.01,-0.02,-0.03,0.05,NA,NA,1321.47,2.87
"104",0.08,NA,NA,-0.03,0.05,-0.01,0.01,1321.62,3.01
"111",0.08,0,NA,-0.03,0.04,NA,0,1321.92,3.32
"112",0.08,NA,-0.02,-0.03,0.05,NA,0.01,1322,3.39
"102",0.08,NA,0,-0.03,0.05,0,NA,1322.36,3.76
"34",0.08,-0.01,NA,-0.03,NA,NA,NA,1322.61,4
"120",0.08,-0.01,-0.02,-0.03,0.04,-0.01,NA,1323,4.4
"122",0.08,0,NA,-0.03,0.04,-0.01,0,1323.36,4.75
"64",0.08,-0.01,NA,-0.03,NA,-0.01,NA,1323.4,4.79
"123",0.08,NA,-0.01,-0.03,0.05,-0.01,0.01,1323.57,4.96
"125",0.08,0,-0.02,-0.03,0.05,NA,0,1323.62,5.02
"9",0.08,NA,NA,-0.03,NA,NA,NA,1324.36,5.76
"37",0.08,NA,NA,-0.03,NA,NA,0.01,1324.49,5.89
"76",0.08,-0.01,NA,-0.03,NA,NA,0,1324.76,6.15
"74",0.08,-0.01,0,-0.03,NA,NA,NA,1324.77,6.17
"127",0.08,0,-0.02,-0.03,0.04,-0.01,0,1325.16,6.55
"67",0.08,NA,NA,-0.03,NA,-0.01,0.01,1325.32,6.72
"101",0.08,-0.01,NA,-0.03,NA,-0.01,0,1325.56,6.96
"99",0.08,-0.01,0,-0.03,NA,-0.01,NA,1325.57,6.97
"78",0.08,NA,0.01,-0.03,NA,NA,0.01,1326.53,7.93
"110",0.08,-0.01,0,-0.03,NA,NA,0,1326.93,8.33
