"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","hatchery_day","hatchery_night","AICc","deltaAICc"
"112",0.0232987765926099,NA,-0.0275492607261517,0.248667774522087,NA,0.0245882225192193,0.0270755434230574,0.0335277771974292,5135.03875223222,0
"123",0.0230451419927577,NA,-0.0272830841184697,0.24732627113946,-0.00591840925111183,0.0242915850898794,0.0268763395928985,0.0336973818416854,5135.34251853354,0.303766301314681
"125",0.0232746441825483,0.00150399383591504,-0.0274810825075835,0.248826152428405,NA,0.0245588990923888,0.0270103905124873,0.033520565200649,5137.1180371717,2.07928493947475
"127",0.023030076298267,0.00146441883472465,-0.0272059838566493,0.247514714723106,-0.00591545571795819,0.0242655549636354,0.0268046811570016,0.0336622268733448,5137.42419899197,2.38544675974936
"77",0.0314320260960177,NA,-0.0219298561168147,0.25893763171471,NA,0.0133729106672036,NA,NA,5153.03940670625,18.000654474029
"78",0.0187314830201511,NA,-0.0264105011384424,0.257131941407181,NA,NA,0.0115800022827737,0.021019763015773,5153.51425346788,18.4755012356545
"102",0.031039428342534,NA,-0.0216779277892485,0.257832857407103,-0.00567876307575492,0.0131388866152776,NA,NA,5153.6135802565,18.5748280242806
"103",0.0184569790208598,NA,-0.0260645410133795,0.255652773428058,-0.00622271313596229,NA,0.0112410024655902,0.021383660414519,5153.76024226605,18.7214900338267
"109",0.0313379703390039,0.0027733618697354,-0.0218186464840678,0.259300506026698,NA,0.0133254495760086,NA,NA,5155.08911665358,20.0503644213559
"110",0.0187067810784582,0.00248297291539006,-0.0262947791275727,0.257452779862732,NA,NA,0.0114894101098054,0.0210075894472927,5155.57320662369,20.5344543914625
"120",0.0309616816206498,0.00272763861728041,-0.0215666842203451,0.258151633361068,-0.00567112349188369,0.0131033660135274,NA,NA,5155.66614350264,20.62739127042
"121",0.0184465298892692,0.00228808308918571,-0.025957889221973,0.255960387607263,-0.00621465647406404,NA,0.011154672284965,0.0213573627190039,5155.82505773902,20.7863055067965
"35",0.0259542103184327,NA,-0.0231632355630237,0.261069354765962,NA,NA,NA,NA,5157.99624547209,22.9574932398673
"65",0.0255980911694221,NA,-0.0228699529230585,0.259772311555601,-0.00589073583127336,NA,NA,NA,5158.48335146375,23.444599231525
"83",NA,NA,-0.0384274051423391,0.253793395824495,NA,0.0184296331625329,0.0416680664609536,0.0443133455832009,5158.58185461751,23.5431023852834
"108",NA,NA,-0.0381264993931242,0.25250726504884,-0.00613296187970391,0.0181702929714119,0.0413149430171827,0.0443507822079084,5158.97796351706,23.9392112848318
"74",0.0259051217405481,0.00324640706153097,-0.0230322065948045,0.2614721203095,NA,NA,NA,NA,5160.03036515789,24.991612925669
"99",0.0255272330000411,0.00311127153895599,-0.0227517621045456,0.260178873745066,-0.00588047580774275,NA,NA,NA,5160.52389569552,25.4851434632919
"113",NA,0.00139019279909838,-0.038357243746684,0.254000242695101,NA,0.0183917841877162,0.0415941548131926,0.0442806194178175,5160.66107041629,25.6223181840669
"124",NA,0.00129306827001856,-0.0380535103608823,0.252668020575294,-0.00612943682271841,0.0181388602322906,0.0412294978225523,0.0443235490407054,5161.0599863862,26.0212341539709
"97",0.0326595691014131,NA,NA,0.243374984523489,NA,0.0229683647091856,0.0136982007198184,0.0265595169944854,5161.52171525719,26.4829630249651
"117",0.032309384046597,NA,NA,0.242163038997159,-0.00626063998448789,0.0226474379709368,0.0135577564728826,0.0267855868217399,5161.75047872085,26.7117264886301
"119",0.0323947019924124,0.0083665823881528,NA,0.244498565713642,NA,0.0227871484273258,0.0134937034298647,0.0265551243902282,5163.27932884935,28.2405766171305
"126",0.0320428935487092,0.00827569766514608,NA,0.243241505737079,-0.00623297752917615,0.0224793247066386,0.0133683447896926,0.0267824407408585,5163.51523865535,28.4764864231283
