"","season","temperature_difference","flow_anomaly","temp_anomaly","flow_difference","hatchery_day","hatchery_night","deltaAICc"
"58",0.03,NA,-0.02,0.02,0.23,0.24,0.11,0
"63",0.03,0.01,-0.02,0.02,0.23,0.24,0.11,1.68
"61",0.03,0.02,-0.02,NA,0.24,0.24,0.11,4.7
"49",0.03,NA,-0.02,NA,0.24,0.24,0.11,4.8
"53",0.03,NA,NA,0.02,0.21,0.24,0.11,11.74
"62",0.03,0.01,NA,0.02,0.21,0.24,0.11,13.39
"56",0.03,0.02,NA,NA,0.22,0.25,0.11,16.03
"39",0.03,NA,NA,NA,0.22,0.25,0.11,16.14
"46",NA,NA,-0.03,0.02,0.24,0.24,0.12,37.66
"60",NA,0.02,-0.03,0.01,0.25,0.24,0.12,38.61
"51",NA,0.03,-0.03,NA,0.25,0.24,0.12,38.9
"30",NA,NA,-0.03,NA,0.25,0.24,0.12,39.61
"36",NA,NA,NA,0.01,0.22,0.25,0.12,57.32
"41",NA,0.03,NA,NA,0.23,0.25,0.12,57.77
"55",NA,0.02,NA,0.01,0.22,0.25,0.12,58.07
"20",NA,NA,NA,NA,0.22,0.25,0.12,58.61
"42",0.03,NA,-0.02,0.02,0.26,NA,NA,125.41
"57",0.03,0.01,-0.02,0.02,0.26,NA,NA,127.26
"48",0.03,0.02,-0.02,NA,0.28,NA,NA,132.39
"26",0.03,NA,-0.02,NA,0.27,NA,NA,132.43
"32",0.03,NA,NA,0.02,0.24,NA,NA,141.82
"52",0.03,0.01,NA,0.02,0.24,NA,NA,143.67
"16",0.03,NA,NA,NA,0.25,NA,NA,148.23
"38",0.03,0.02,NA,NA,0.26,NA,NA,148.24
"23",NA,NA,-0.03,0.02,0.28,NA,NA,167.89
"45",NA,0.02,-0.03,0.02,0.28,NA,NA,169.01
"29",NA,0.03,-0.03,NA,0.29,NA,NA,170.54
"9",NA,NA,-0.03,NA,0.28,NA,NA,171.37
"54",0.04,-0.05,NA,0.05,NA,0.3,0.11,184.08
"59",0.04,-0.05,0,0.05,NA,0.3,0.11,185.7
"34",0.04,NA,NA,0.04,NA,0.31,0.11,191.41
"44",0.04,NA,0.01,0.04,NA,0.31,0.11,192.44
"13",NA,NA,NA,0.02,0.25,NA,NA,193.37
"35",NA,0.02,NA,0.01,0.26,NA,NA,194.31
"19",NA,0.03,NA,NA,0.26,NA,NA,194.99
"4",NA,NA,NA,NA,0.26,NA,NA,195.94
"40",0.03,-0.03,NA,NA,NA,0.31,0.12,215.14
"18",0.03,NA,NA,NA,NA,0.31,0.12,215.67
"50",0.04,-0.02,0.01,NA,NA,0.31,0.12,215.85
"28",0.04,NA,0.01,NA,NA,0.31,0.12,215.98
"37",NA,-0.05,NA,0.04,NA,0.31,0.13,227.85
"47",NA,-0.05,0,0.04,NA,0.31,0.13,229.78
"15",NA,NA,NA,0.04,NA,0.31,0.13,234.09
"25",NA,NA,0,0.04,NA,0.31,0.13,236.17
"21",NA,-0.03,NA,NA,NA,0.32,0.13,250.11
"6",NA,NA,NA,NA,NA,0.32,0.13,250.62
"31",NA,-0.03,0,NA,NA,0.32,0.13,252.18
"11",NA,NA,0,NA,NA,0.32,0.13,252.63
"33",0.04,-0.06,NA,0.06,NA,NA,NA,350.8
"43",0.04,-0.06,0,0.06,NA,NA,NA,352.49
"12",0.04,NA,NA,0.05,NA,NA,NA,361.9
"22",0.04,NA,0.01,0.05,NA,NA,NA,362.92
"17",0.04,-0.03,NA,NA,NA,NA,NA,390.93
"27",0.04,-0.03,0.01,NA,NA,NA,NA,391.7
"3",0.04,NA,NA,NA,NA,NA,NA,392.81
"8",0.04,NA,0.01,NA,NA,NA,NA,393.09
"14",NA,-0.06,NA,0.05,NA,NA,NA,402.73
"24",NA,-0.06,0,0.05,NA,NA,NA,404.51
"2",NA,NA,NA,0.04,NA,NA,NA,413.03
"7",NA,NA,0,0.04,NA,NA,NA,415.09
"5",NA,-0.03,NA,NA,NA,NA,NA,431.91
"10",NA,-0.03,0,NA,NA,NA,NA,433.99
"1",NA,NA,0,NA,NA,NA,NA,436.04
