"","chinook0_puyallup_Date","chinook0_puyallup_Date_10","chinook0_puyallup_unmarked_prop","chinook0_puyallup_unmarked","chinook0_puyallup_hatchery_num","chinook0_puyallup_wild_num"
"2",2004-05-26,2004-06-05,0.0109743092701365,18071,235,44
"3",2004-06-07,2004-06-17,0.0052906976744186,546,100,11
"4",2005-05-31,2005-06-10,0,0,9258,28
"5",2005-06-01,2005-06-11,0,0,1401,28
"6",2006-05-30,2006-06-09,0,0,5404,32
"7",2006-05-31,2006-06-10,0.00890016638935108,10698,1244,10
"8",2006-06-02,2006-06-12,0.0089007600604906,2266,341,28
"9",2007-06-01,2007-06-11,0.0242623029893762,2012,1510,21
"10",2007-06-05,2007-06-15,0.00470859288999692,8465,1510,21
"11",2008-06-13,2008-06-23,0.003779416101445,6408,502,11
"12",2010-05-28,2010-06-07,0.00351007317875779,1344,443,16
"13",2011-05-27,2011-06-06,0.00514997391757955,3949,7661,98
"14",2011-05-31,2011-06-10,0,0,7661,98
"15",2011-06-24,2011-07-04,0.0067,6030,204,78
"16",2012-06-01,2012-06-11,0.00293619694295714,2454,767,34
"17",2012-06-19,2012-06-29,0.003997668997669,686,1994,46
"18",2013-06-01,2013-06-11,0.006,4230,395,47
"19",2014-06-08,2014-06-18,0.00569983146984789,3700,420,23
"20",2015-06-05,2015-06-15,0.00338335638020538,2388,2387,15
"21",2016-06-02,2016-06-12,0.00897380303184323,13948,6297,39
"22",2017-06-05,2017-06-15,0.00439986235375086,6393,2621,75
"23",2018-06-04,2018-06-14,0.0057001806140879,9468,73,3
"24",2019-06-03,2019-06-13,0.0138003663003663,22605,668,408
"25",2020-06-04,2020-06-14,0.0298993975903614,49633,164,64
"26",2021-06-01,2021-06-11,0.00270061188199219,1543,1502,20
"27",2021-06-02,2021-06-12,0.0042654437144961,3858,1502,20
