"","coho1_puyallup_Date","coho1_puyallup_Date_10","coho1_puyallup_unmarked_prop","coho1_puyallup_unmarked","coho1_puyallup_hatchery_num","coho1_puyallup_wild_num"
"2",2004-04-30,2004-05-10,0.012413390010627,11681,381,12
"3",2005-04-28,2005-05-08,0.000540983606557377,495,634,18
"4",2006-04-20,2006-04-30,0.0117929465301479,10366,1057,6
"5",2006-05-30,2006-06-09,9.75105555176348e-06,1,111,5
"6",2007-04-30,2007-05-10,0.00438590850043087,3410,87,0
"7",2007-05-08,2007-05-18,0,0,17,2
"8",2008-03-03,2008-03-13,0,0,1,2
"9",2008-04-29,2008-05-09,0.00685270929796021,5476,8449,6
"10",2010-04-23,2010-05-03,0.0103650952858576,5167,1211,15
"11",2011-02-22,2011-03-04,0,0,2,2
"12",2011-04-12,2011-04-22,0.00560034595409258,2616,608,30
"13",2011-04-13,2011-04-23,0.0263587488844873,2422,608,30
"14",2012-04-16,2012-04-26,0.00973296089385475,8711,562,21
"15",2012-05-16,2012-05-26,0,0,209,133
"16",2013-04-13,2013-04-23,0.00383968621445226,2788,1003,55
"17",2013-04-17,2013-04-27,0,0,1003,55
"18",2013-05-13,2013-05-23,0,0,139,66
"19",2013-05-31,2013-06-10,0.0280895245891045,1304,38,14
"20",2014-04-16,2014-04-26,0.00897280572589514,7221,376,27
"21",2014-04-30,2014-05-10,0,0,77,61
"22",2015-04-10,2015-04-20,0.00482291666666667,4167,365,3
"23",2015-04-23,2015-05-03,0,0,164,14
"24",2016-04-08,2016-04-18,0.00252290349204071,914,436,0
"25",2017-04-13,2017-04-23,0.00796770160546941,5143,523,4
"26",2017-05-18,2017-05-28,0,0,312,53
"27",2018-04-06,2018-04-16,0.00963007591276057,7992,2556,4
"28",2018-05-15,2018-05-25,0,0,89,28
"29",2019-04-01,2019-04-11,0.00910077225356026,4127,1925.74825177276,9.92307692325465
"30",2019-04-05,2019-04-15,0.00764488483342311,2867,1925.74825177276,9.92307692325465
"31",2020-04-01,2020-04-11,0.0075,2430,3335.11111111111,49.8888888888889
"32",2020-04-06,2020-04-16,0.00848390243902439,4348,668.633333333333,5.88333333333333
"33",2021-04-01,2021-04-11,0.628964403294725,152644,1344.24999996102,126.999999996318
"34",2021-04-06,2021-04-16,0.0141689853259424,7883,1344.24999996102,126.999999996318
