"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","AICc","hatchery","deltaAICc"
"76",0.063071125702378,-0.0421004408699916,NA,NA,NA,NA,NA,1833.76319608862,0.0483001782846065,0
"153",0.0694587670141461,-0.0457442074355806,NA,NA,NA,NA,-0.02243567956811,1833.95559333235,0.063347457755824,0.19239724372801
"26",0.0699324115003519,NA,NA,NA,NA,NA,NA,1834.6708085413,0.0422871372059995,0.907612452680723
"82",0.0759635949239284,NA,NA,NA,NA,NA,-0.0188600054225862,1835.35813348569,0.0549775094214271,1.59493739707
"150",0.0629660242194882,-0.0419282927093632,NA,0.0157328395728476,NA,NA,NA,1835.38134107254,0.0466329949359485,1.618144983918
"215",0.069456684932832,-0.0457677961908538,NA,0.0170910595967607,NA,NA,-0.0227336882521762,1835.48926590165,0.0619005556923633,1.72606981303193
"131",0.0630353453723984,-0.0419737402625921,NA,NA,-0.00578116550480939,NA,NA,1835.70632947464,0.0477688975102421,1.94313338601955
"152",0.067301911280168,-0.0439320373134606,NA,NA,NA,0.00610046326452588,NA,1835.80279751459,0.0509925721289496,2.03960142596952
"203",0.0694957834336295,-0.0455443140222807,NA,NA,-0.00631706349894745,NA,-0.0226075812740968,1835.87133881118,0.0628830743449362,2.10814272255379
"111",0.0631650413631258,-0.0418773483048067,0.00045194808152654,NA,NA,NA,NA,1835.93157933718,0.0483058795180974,2.16838324856008
"188",0.0688313781023823,-0.0479178070954182,-0.00393236486943794,NA,NA,NA,-0.0234998115440582,1836.04839747861,0.0639618933420774,2.28520138999238
"216",0.0673034339539987,-0.0448699692696591,NA,NA,NA,-0.00363519135633443,-0.0237100670501895,1836.09280376207,0.0626401712021991,2.32960767344389
"79",0.0697700835207396,NA,NA,0.0158376277396734,NA,NA,NA,1836.26785589236,0.0404612335158628,2.50465980373542
"47",0.0708219830639392,NA,0.0064213062525622,NA,NA,NA,NA,1836.56226488462,0.042767540712852,2.79906879600003
"62",0.0698738639534042,NA,NA,NA,-0.0058260785897592,NA,NA,1836.59114782992,0.0417520094968241,2.82795174129683
"81",0.0698783275457048,NA,NA,NA,NA,-6.57592185068798e-05,NA,1836.83433222851,0.0422582579123471,3.07113613988918
"156",0.0758186745480631,NA,NA,0.0167048920198716,NA,NA,-0.0190374022450804,1836.9019275497,0.0532423260289881,3.13873146107858
"137",0.0759683673233115,NA,NA,NA,-0.00628365557076856,NA,-0.0190355438787308,1837.2531088968,0.0545427891644385,3.48991280818268
"157",0.0702315731342561,NA,NA,NA,NA,-0.00911378817224674,-0.0221940124081057,1837.25703317689,0.0535134117350999,3.49383708826599
"200",0.0629460664342175,-0.0418393486515544,NA,0.0144978868562583,-0.00441715756305356,NA,NA,1837.42579174049,0.0463601844871431,3.66259565186579
"214",0.0670741309470773,-0.0437995566447974,NA,0.0157228978477784,NA,0.00593502901980147,NA,1837.43060164261,0.0493194824591351,3.66740555399156
"117",0.076207317225309,NA,0.00374457787930677,NA,NA,NA,-0.0179459788835141,1837.44041657675,0.0546704289625148,3.67722048812902
"236",0.0686417736497294,-0.0488772936929472,-0.00547635854892254,0.0182057676768231,NA,NA,-0.0243303576365195,1837.51180138521,0.0628063628184848,3.74860529659236
"242",0.0695007750132656,-0.0456693271098099,NA,0.0157705345685985,-0.00481264331461139,NA,-0.0229116034562819,1837.52011837124,0.0617593619230144,3.75692228261528
"185",0.0628194544964027,-0.0423174602561699,-0.000706145267554418,0.0158676235628112,NA,NA,NA,1837.55398763804,0.0466330003630821,3.79079154941724
"246",0.0671453337980853,-0.044805152191586,NA,0.0171618262050775,NA,-0.00391245316708206,-0.024149991968728,1837.62492331151,0.0611652170971053,3.86172722288734
"202",0.0666849735426557,-0.0435461752772294,NA,NA,-0.00537956563165573,0.00523532839095322,NA,1837.78656966613,0.0501016429538017,4.02337357751048
"166",0.0629966509592491,-0.0420258010596348,-0.000167979713770728,NA,-0.00582174460650192,NA,NA,1837.88176757974,0.0477739149389454,4.11857149111461
"224",0.0687526177398428,-0.0481649546424705,-0.00472552718378211,NA,-0.00675079864896414,NA,-0.0239167643359636,1837.93555577387,0.0635844251787149,4.17235968525119
"187",0.0672960392656014,-0.0442784157958217,-0.000422246005241456,NA,NA,0.0062263745664625,NA,1837.97746770853,0.0510506067259618,4.21427161990846
"243",0.0665970950245207,-0.0442793529039411,NA,NA,-0.00672352484283431,-0.00494611681976768,-0.0243601023848878,1837.9823814838,0.0618433951690353,4.21918539517719
"237",0.0670465775077252,-0.0470164001407302,-0.00370767931728197,NA,NA,-0.00313187502832943,-0.0245510803460046,1838.20152753622,0.0633286747400925,4.43833144760197
"114",0.0704803440812465,NA,0.00539513144546731,0.0147748073430884,NA,NA,NA,1838.24233922541,0.0409104463552235,4.47914313679098
"134",0.0696923952955164,NA,NA,0.0145138568519939,-0.00447436692498718,NA,NA,1838.29462790128,0.0401491586406083,4.53143181265432
"155",0.0695996746472809,NA,NA,0.0158028198367051,NA,-0.000158085229463619,NA,1838.43702391343,0.0403342198755918,4.67382782480786
"97",0.0707108720223533,NA,0.00586998325783855,NA,-0.0052840320515856,NA,NA,1838.53321307625,0.0422528091560674,4.77001698762683
"116",0.0700994327459744,NA,0.00649241664429586,NA,NA,-0.00102316806657392,NA,1838.72770259785,0.0423741201948893,4.96450650923293
"136",0.0691978731439372,NA,NA,NA,-0.00589860623898338,-0.000931421165674571,NA,1838.7575071257,0.0413813049657918,4.99431103707479
"217",0.0699935683558308,NA,NA,0.0168534628976875,NA,-0.00930085899931736,-0.0224713977992144,1838.78840918225,0.0517525473911055,5.02521309362737
"3",0.0525852205172221,NA,NA,NA,NA,NA,NA,1838.89848546708,NA,5.13528937845535
"206",0.0758334252756019,NA,NA,0.0153256181807252,-0.00484725916082264,NA,-0.0191694247213933,1838.91440663637,0.0530342512645369,5.15121054774409
"191",0.0759968638057237,NA,0.00255536247996244,0.0161868744504858,NA,NA,-0.0184253986007023,1839.03647668159,0.0530806052096766,5.2732805929727
"207",0.0694139662004326,NA,NA,NA,-0.00716143774536629,-0.0104351365194459,-0.0228996990613216,1839.07834077245,0.0528260751721665,5.31514468382738
"192",0.0703515168542268,NA,0.00401922605052883,NA,NA,-0.00935589470189152,-0.0213237106557419,1839.33129946777,0.0531588131434076,5.56810337914999
"172",0.0761571825879007,NA,0.0030951032162903,NA,-0.00597785404083964,NA,-0.0182749210891377,1839.36938564086,0.0542952573173923,5.60618955223913
"22",0.046162977237312,-0.0294446527544268,NA,NA,NA,NA,NA,1839.43359444099,NA,5.67039835236574
"241",0.0666139745699551,-0.0435753089114803,NA,0.0145870012365368,-0.00400220409477317,0.00529640244779992,NA,1839.50712790775,0.0487741491595472,5.74393181912842
"249",0.0685377250632793,-0.0490129365092465,-0.00594644136472589,0.0168923647872773,-0.0052765589736272,NA,-0.0245306234552293,1839.519918091,0.0625367329109097,5.75672200237818
"235",0.0669241984611691,-0.0447752027738395,-0.00159905837584217,0.016034081104394,NA,0.00629579624534309,NA,1839.59798184964,0.0493991147757852,5.83478576102129
"221",0.0626743054962451,-0.0424240517415299,-0.00109452946862055,0.0146675001360895,-0.00451407959855324,NA,NA,1839.60055324924,0.0463212564882708,5.83735716061938
"254",0.066555758986227,-0.0444638566152694,NA,0.0157415801166245,-0.00521251273381862,-0.00491620991531215,-0.0246317066799448,1839.63642474284,0.0606828469106086,5.87322865421879
"253",0.0667663335825263,-0.0479200189706013,-0.00524147112565054,0.0182921854217798,NA,-0.00325608602513665,-0.0254074397353945,1839.66819678251,0.062101488464708,5.90500069389032
"23",0.0533266402162041,NA,NA,0.0215573030333427,NA,NA,NA,1839.91547479256,NA,6.15227870393824
"223",0.0665995390256305,-0.0441029171227518,-0.000879440248645208,NA,-0.00545436595043068,0.00542696871472433,NA,1839.96400294184,0.0501829892841359,6.20080685321386
"250",0.0661621030014091,-0.0469481295649556,-0.00443243482554811,NA,-0.00708816985828039,-0.0044405818974302,-0.0253921280257258,1840.06661713905,0.0626588571595827,6.30342105042473
"24",0.0453668809403596,NA,NA,NA,NA,-0.0125779634094537,NA,1840.23739199584,NA,6.47419590722279
"169",0.0704239496795989,NA,0.0050657469941507,0.0136673743639266,-0.00409375193765631,NA,NA,1840.29973513724,0.0406659873996853,6.53653904862153
"190",0.0697782344544928,NA,0.00547535446574161,0.0147611324899524,NA,-0.000967018203515279,NA,1840.41416632163,0.0405265610423118,6.65097023301041
"205",0.0690984263302796,NA,NA,0.0145084698778295,-0.00453245596814477,-0.000787667743250996,NA,1840.46767665233,0.0398071540149555,6.70448056370924
"73",0.0469721946545845,-0.029084003926145,NA,0.0214962568412029,NA,NA,NA,1840.4818541637,NA,6.7186580750772
"16",0.052789229025005,NA,NA,NA,-0.00705373415348554,NA,NA,1840.65113385962,NA,6.88793777100159
"171",0.0694288715185723,NA,0.0060089280226494,NA,-0.00540073306130317,-0.00174409455840137,NA,1840.69720780198,0.0415361252475002,6.9340117133595
"244",0.0693689595070428,NA,NA,0.0152584362655928,-0.00570040026195085,-0.0103210552600084,-0.0229665461420817,1840.74488667013,0.0513822952396719,6.98169058150938
"10",0.0530715841989429,NA,0.00434906406915596,NA,NA,NA,NA,1840.91319171359,NA,7.14999562497087
"238",0.0700468919365009,NA,0.0028416830778247,0.0163345881911532,NA,-0.00948072688255543,-0.0218494473857082,1840.91942641254,0.0515345242934258,7.15623032392136
"25",0.0524669535698898,NA,NA,NA,NA,NA,0.00351907250464251,1840.97418169239,NA,7.2109856037705
"74",0.0405737133672396,-0.0270769573811484,NA,NA,NA,-0.0106178801953413,NA,1841.04724863069,NA,7.28405254206791
"227",0.0759892366973925,NA,0.00213688519323417,0.0149451083578611,-0.00466607068200179,NA,-0.0186759061847524,1841.06747049135,0.0529251612569634,7.30427440272911
"228",0.0695306233127127,NA,0.00332012265356854,NA,-0.00685043755145898,-0.0105541553805806,-0.0221366097324643,1841.19145825531,0.0525379053766969,7.4282621666855
"58",0.0463658397528693,-0.0294222651951235,NA,NA,-0.00718478439894853,NA,NA,1841.191818534,NA,7.42862244537787
"77",0.0465620443985051,NA,NA,0.0207354153668864,NA,-0.0117625713601631,NA,1841.34022095361,NA,7.5770248649892
"75",0.0460443143048408,-0.0293797008817303,NA,NA,NA,NA,0.00339695625844819,1841.52477397448,NA,7.76157788585783
"43",0.0462038404136924,-0.0294203182273663,1.88091338586787e-05,NA,NA,NA,NA,1841.59726162262,NA,7.83406553399982
"255",0.0660939473175962,-0.0477939963626897,-0.00564964562239721,0.0168161029545802,-0.00561699760354863,-0.00425154355753608,-0.0259594896153457,1841.66040464961,0.0616659994476122,7.89720856099188
"248",0.0664739914695501,-0.044635123643542,-0.00186759666747453,0.0149283131491309,-0.00410600595599884,0.0057269320985366,NA,1841.67539365578,0.0488821621486251,7.91219756716282
"59",0.0534239376026925,NA,NA,0.0199493929766366,-0.00513782996003487,NA,NA,1841.86429435877,NA,8.10109827014662
"60",0.0451896419181016,NA,NA,NA,-0.00781316243222496,-0.0132876302447342,NA,1841.90318877208,NA,8.13999268345333
"44",0.0536568817001449,NA,0.00312043861269122,0.0210131550122178,NA,NA,NA,1842.00446976645,NA,8.24127367782989
"78",0.053266814348531,NA,NA,0.0211709924124881,NA,NA,0.00239460810194538,1842.04082796804,NA,8.2776318794206
"45",0.045492334468573,NA,0.00577078306480955,NA,NA,-0.0134659097400662,NA,1842.15042834733,NA,8.38723225870331
"148",0.0417535692763648,-0.0268538007856136,NA,0.020856964645785,NA,-0.00988883624611576,NA,1842.15982518388,NA,8.39662909525691
"80",0.0446505558542458,NA,NA,NA,NA,-0.013996132468567,-0.00259971901878715,1842.36688251036,NA,8.60368642173739
"128",0.0470547068256983,-0.0290819925284673,NA,0.0198800155969107,-0.00527432308132228,NA,NA,1842.43390848765,NA,8.6707123990318
"226",0.0693119370045051,NA,0.00519084183921562,0.0136066162377191,-0.00419443887435874,-0.00150922785520239,NA,1842.47231685238,0.0400463517676295,8.70912076375726
"149",0.0468943641932899,-0.0287155420647957,NA,0.0210799772202113,NA,NA,0.00236600394042419,1842.61994170509,NA,8.85674561647306
"108",0.046648059749969,-0.0298755191128284,-0.00133429444602504,0.0217316719554015,NA,NA,NA,1842.63943231138,NA,8.87623622275964
"37",0.0531860479374563,NA,0.0036987003232792,NA,-0.00672020413287253,NA,NA,1842.71178811824,NA,8.94859202961948
"129",0.0403952651748847,-0.0268892568998342,NA,NA,-0.00782931637538718,-0.0113660505636033,NA,1842.73294259364,NA,8.96974650501625
"61",0.0526682330281447,NA,NA,NA,-0.00690988435781622,NA,0.00312349335524688,1842.7509077912,NA,8.98771170257987
"251",0.0694528440092219,NA,0.00235521478808289,0.0148812218774423,-0.00552470099284088,-0.0104316808562772,-0.0224721138551872,1842.89733491265,0.0511883484905915,9.13413882403074
"46",0.0529879866137574,NA,0.00518626232542129,NA,NA,NA,0.00461200593601194,1842.94218520255,NA,9.17898911392808
"109",0.0407893393477751,-0.0259871665619341,0.00169087506670301,NA,NA,-0.0109592555635492,NA,1843.19818911727,NA,9.43499302865212
"151",0.0401303927874494,-0.0268923432481134,NA,NA,NA,-0.0115590648239519,-0.00165550019479222,1843.20368171857,NA,9.44048562994453
"132",0.0463164210937096,NA,NA,0.0188217328092759,-0.00595725070178457,-0.0123406367356736,NA,1843.22293584896,NA,9.45973976033747
"130",0.0462632082406913,-0.0293594204531352,NA,NA,-0.00705847257048172,NA,0.00296040019812858,1843.30579110685,NA,9.54259501822844
"112",0.0466132909702297,NA,0.00450730835995941,0.0198771968052502,NA,-0.0124943998522785,NA,1843.35496881543,NA,9.59177272680699
"93",0.0462163036688301,-0.0298375468073749,-0.000723757791648496,NA,-0.00728079378151223,NA,NA,1843.3578217454,NA,9.59462565677677
"154",0.0455510739038482,NA,NA,0.0211097861225385,NA,-0.0137451201347846,-0.0036201405996962,1843.44200083842,NA,9.67880474979575
"110",0.0462105095092974,-0.0289284485210604,0.000744617355788746,NA,NA,NA,0.00353868542344586,1843.69085766592,NA,9.92766157729579
"95",0.0452883145726914,NA,0.00513161314618539,NA,-0.00736662662306038,-0.0140569706537806,NA,1843.87632259359,NA,10.1131265049664
"94",0.0536982113394624,NA,0.00272307530893306,0.0195205210865945,-0.00492904356602883,NA,NA,1843.97715467228,NA,10.2139585836571
"133",0.053333175106079,NA,NA,0.0196893260471254,-0.00505545084503565,NA,0.00216520163860402,1844.00237619178,NA,10.2391801031606
"135",0.0441330505609974,NA,NA,NA,-0.00809765447360041,-0.0153590150170269,-0.00367178814755654,1844.00542254862,NA,10.2422264600023
"198",0.0415084175808934,-0.0267880897028223,NA,0.0189905274181384,-0.00595646311720927,-0.0105164994841533,NA,1844.0577253489,NA,10.2945292602742
"113",0.0535843967965069,NA,0.00372194320856336,0.0204436057130408,NA,NA,0.00320761422881359,1844.10781605223,NA,10.344619963613
"213",0.0410430292309393,-0.0265916560493956,NA,0.021129769697185,NA,-0.0114168443817805,-0.00272928155553247,1844.29869958207,NA,10.5355034934485
"115",0.0450458107726045,NA,0.00559443297181418,NA,NA,-0.0143239017444478,-0.00158146109661059,1844.30778797718,NA,10.544591888555
"183",0.0417673558354625,-0.0266669895457538,0.000228068143306177,0.0207401206173194,NA,-0.00998894694815116,NA,1844.33510669649,NA,10.5719106078711
"199",0.0469784367235055,-0.0290649727195714,NA,0.0196506744305595,-0.00522278790384102,NA,0.00198265941208071,1844.58300032405,NA,10.8198042354261
"163",0.0466500327599427,-0.0301594693657999,-0.00179906488473063,0.0201835104071574,-0.00540416966879543,NA,NA,1844.58746951831,NA,10.8242734296912
"96",0.0531189703239636,NA,0.00446324950613845,NA,-0.00645948745110382,NA,0.0040695558098944,1844.77668133057,NA,11.0134852419499
"184",0.0466920145132632,-0.0295479409483278,-0.000881856361726526,0.0213578556874409,NA,NA,0.00204955189365928,1844.78923175524,NA,11.0260356666133
"201",0.0396580411045638,-0.0266472717524812,NA,NA,-0.00805819591983165,-0.0129330475205389,-0.00272812427610878,1844.87301266457,NA,11.1098165759499
"164",0.0405310228390884,-0.0262799282418607,0.000976071524840695,NA,-0.00774291253117184,-0.0115422056901263,NA,1844.90247368262,NA,11.1392775939992
"167",0.0463707353792708,NA,0.00411319022666177,0.0181346064853666,-0.00566956350310561,-0.0130043285941995,NA,1845.26998956872,NA,11.5067934800941
"204",0.0450974841196221,NA,NA,0.0191684096441276,-0.00625482044832141,-0.0148021619358233,-0.00435664872782373,1845.30154014079,NA,11.5383440521666
"186",0.0404120533908659,-0.0259133116053636,0.00151262672123604,NA,NA,-0.0117045762766279,-0.00140028889023246,1845.36445194047,NA,11.6012558518526
"165",0.0462362265100447,-0.0294241476412708,-0.000111485742982725,NA,-0.00705706978710171,NA,0.00294941962537106,1845.48125296865,NA,11.7180568800241
"189",0.0458231095801823,NA,0.0041267979886201,0.0202227608425642,NA,-0.0139760700333337,-0.00281886855143009,1845.49053094319,NA,11.727334854565
"170",0.0445164764517832,NA,0.00476441176534679,NA,-0.00763171135513282,-0.0155287054512963,-0.0027356913803583,1846.01563102928,NA,12.2524349406604
"168",0.0536279129292887,NA,0.00327645573698242,0.0190769281159033,-0.00478463125844446,NA,0.00290000727673161,1846.09880829913,NA,12.3356122105085
"240",0.0406210613827436,-0.026599526070238,NA,0.0191805181625471,-0.00630581050351455,-0.0123761243499931,-0.00334147455356665,1846.18194616945,NA,12.4187500808237
"219",0.0414620104257653,-0.0266156438083802,-0.00018259769917507,0.0196341975519666,-0.00586569357645158,-0.010540435743436,NA,1846.24256214774,NA,12.4793660591208
"234",0.041023064429113,-0.0266688730151582,-0.000107669430964793,0.0211601037288815,NA,-0.01141174420342,-0.00273447488199859,1846.4802138759,NA,12.7170177872815
"28",NA,-0.0488272958308872,NA,NA,NA,-0.0332558447376942,NA,1846.59065535376,NA,12.8274592651335
"220",0.0466567216964286,-0.0299226680234209,-0.00143519220525472,0.0198900787653706,-0.00532258012941499,NA,0.001694698163755,1846.75147150735,NA,12.9882754187247
"222",0.0397863628796567,-0.0262340311085076,0.000627032824754628,NA,-0.00798907483699281,-0.0129800211913602,-0.00260042297042924,1847.0520965428,NA,13.2889004541744
"225",0.0453423422726041,NA,0.00361731023916446,0.0184603841958948,-0.00596484061778676,-0.0149515531295582,-0.00362185991686301,1847.38662068134,NA,13.6234245927212
"87",NA,-0.058503450911477,NA,NA,NA,-0.0327348288634406,NA,1847.54093608065,0.0187087976848158,13.7777399920319
"161",NA,-0.059292460323951,NA,NA,NA,-0.0433584841845924,-0.0257337287193241,1847.62442905705,0.0315707454091314,13.8612329684279
"86",NA,-0.0462565779895017,NA,NA,NA,-0.0380547826351637,-0.0114377309470206,1848.16758747655,NA,14.4043913879234
"83",NA,-0.0496403123081024,NA,0.0156213417565892,NA,-0.033171467116631,NA,1848.20340312557,NA,14.4402070369438
"64",NA,-0.0485614270783429,NA,NA,-0.00898105434976506,-0.034010802102804,NA,1848.20524240129,NA,14.4420463126664
"247",0.0404599018626861,-0.0268299942239786,-0.000672249943518305,0.0193807996878636,-0.00626050089004176,-0.0124208869086,-0.00356162835425946,1848.36557105787,NA,14.6023749692524
"49",NA,-0.0503535634564369,-0.00292852089773295,NA,NA,-0.0324535661751558,NA,1848.70498680244,NA,14.9417907138202
"6",NA,NA,NA,NA,NA,-0.0427138623242413,NA,1849.02165754813,NA,15.2584614595073
"211",NA,-0.0585233019105985,NA,NA,-0.0098681022024162,-0.0446232309183149,-0.0266417675045187,1849.2035209346,0.0310502868532171,15.4403248459739
"142",NA,-0.0578035826661083,NA,NA,-0.00840612394467961,-0.0334947560912449,NA,1849.26779741543,0.0178752939625115,15.5046013268068
"218",NA,-0.0596545629612343,NA,0.0150764754065682,NA,-0.0435091186193649,-0.0262088651995158,1849.31710699621,0.030574808407758,15.5539109075905
"159",NA,-0.0586867883986814,NA,0.0134404171861182,NA,-0.0327185736144721,NA,1849.32416510529,0.017518470383742,15.5609690166705
"196",NA,-0.0637149684862737,-0.00817209216922072,NA,NA,-0.0419703481267305,-0.0276255678830008,1849.46370351192,0.0333178089349766,15.7005074232954
"122",NA,-0.0610249474045601,-0.0045359383144605,NA,NA,-0.0314925675593748,NA,1849.6023147776,0.0192266407565039,15.8391186889778
"141",NA,-0.0456739802200638,NA,NA,-0.00987167031663681,-0.0393692378452679,-0.012589475166412,1849.66668930502,NA,15.9034932163991
"158",NA,-0.0468757550251589,NA,0.017182859020765,NA,-0.0384146711531914,-0.012482664642772,1849.6698024169,NA,15.9066063282773
"138",NA,-0.0492990815695003,NA,0.0133863238561112,-0.0076562500702119,-0.0338326797059428,NA,1849.98166905091,NA,16.2184729622904
"34",NA,NA,NA,NA,NA,-0.0484752226346234,-0.0154058740799938,1850.0826304375,NA,16.3194343488738
