"","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","hatchery","AICc","deltaAICc"
"103",-0.0250504112884974,-0.020313275391073,NA,-0.0136880491024166,-0.0537633171375161,NA,0.0586490202757445,1807.75872275902,0
"78",-0.0224179232864687,-0.020335020246053,NA,NA,-0.0538547154677987,NA,0.0562629462110098,1807.78159027305,0.0228675140283485
"42",NA,-0.0194761996373257,NA,NA,-0.0509383902554779,NA,0.0520066177177596,1807.96067926168,0.201956502664416
"72",NA,-0.0193756965057005,NA,-0.0116388380061486,-0.050557910919962,NA,0.0536248265353305,1808.47352228009,0.714799521070745
"121",-0.0251391367205502,-0.0186480620537256,-0.0143477720003853,-0.0137897421412885,-0.0533312261596473,NA,0.0587770834340096,1809.18226491881,1.42354215979253
"110",-0.0225146174142277,-0.0187153089157995,-0.0138732502099792,NA,-0.0534344471684838,NA,0.0563854219714639,1809.24822495898,1.48950219995641
"27",NA,NA,NA,NA,-0.0485198657852953,NA,0.055432745673588,1809.32601612782,1.56729336880107
"83",NA,-0.0199311481790749,NA,NA,-0.0564220431418543,-0.0103831506579358,0.0563940872699345,1809.32964277738,1.57092001836236
"58",-0.0212574743955221,NA,NA,NA,-0.0512058391232125,NA,0.0595560952954069,1809.3912648117,1.63254205268163
"88",-0.0238391028512547,NA,NA,-0.013703040331974,-0.0511051591012418,NA,0.0619215402399712,1809.39174569417,1.6330229351538
"81",NA,-0.0178989519185595,-0.0136701071063283,NA,-0.0505143931875924,NA,0.0520814423039549,1809.44103917661,1.68231641758962
"108",NA,-0.0198551773409487,NA,-0.0120710296413506,-0.0564060450149229,-0.0110841707184096,0.0583658181133933,1809.73726622652,1.97854346749637
"52",NA,NA,NA,-0.0117531259560332,-0.048183447601146,NA,0.0570155602822246,1809.82746597142,2.06874321240025
"123",-0.0245985333325912,-0.0203377183271565,NA,-0.0136746986008598,-0.0540739464700482,-0.000713476547986956,0.0588725107931572,1809.88173498526,2.12301222623842
"112",-0.021692112102538,-0.0203599075535569,NA,NA,-0.0543726795997288,-0.00116941727351558,0.0566385724177468,1809.89621308384,2.13749032482269
"106",NA,-0.0177581819410521,-0.0140544021023654,-0.0117421389832426,-0.0501251738357629,NA,0.0536928669000025,1809.92031704392,2.16159428489846
"115",-0.0241341173450146,NA,-0.0198234200479863,-0.0138539331873334,-0.0507839329416257,NA,0.061770249008834,1810.1305680261,2.37184526707892
"61",NA,NA,-0.018946531947258,NA,-0.0482161627579278,NA,0.0551626865839198,1810.17864917154,2.41992641251886
"95",-0.0215394865969853,NA,-0.0193691847056687,NA,-0.0509099831309819,NA,0.0594093183052005,1810.1915226584,2.43279989938196
"91",NA,NA,-0.0192813373948636,-0.0118891862733492,-0.0478428771329008,NA,0.0567811530456273,1810.63549755754,2.87677479851641
"63",NA,NA,NA,NA,-0.0534863421824702,-0.00941671890665099,0.0594263703771141,1810.83491558276,3.07619282374344
"113",NA,-0.0183770875857481,-0.0132833077062122,NA,-0.0558709087712752,-0.0101010146989857,0.0563432597479913,1810.85066599161,3.09194323258589
"124",NA,-0.0182678201438275,-0.013648884348646,-0.012155366082388,-0.0558341460286911,-0.0108015199851415,0.0583391425955692,1811.22726170197,3.46853894294941
"93",NA,NA,NA,-0.0121500114100779,-0.0534427494935646,-0.0100897441655565,0.0613716108968801,1811.24272613294,3.48400337392013
"127",-0.0249924821562683,-0.0186569262768154,-0.0143288647584231,-0.0137924163044785,-0.0534456527253674,-0.000246098322509937,0.05885385364205,1811.31158409713,3.5528613381091
"125",-0.0220289104321601,-0.0187325492663621,-0.0138331392754406,NA,-0.0537580374791614,-0.000726119344506492,0.0565963706882328,1811.37105162519,3.61232886617086
"97",-0.0210046462101448,NA,NA,NA,-0.0514111083328217,-0.000461793051640186,0.0597140599157467,1811.50757226666,3.74884950763976
"117",-0.0238370661435756,NA,NA,-0.0137019734130762,-0.0511124047239568,-9.06033912024599e-06,0.0619230583303044,1811.51316207827,3.75443931925042
"98",NA,NA,-0.0187278227072258,NA,-0.0530138172642847,-0.00914663578288616,0.0590979500615439,1811.72102823925,3.96230548023232
