"","temperature_difference","flow_anomaly","flow_difference","temp_anomaly","season","hatchery","deltaAICc"
"28",NA,-0.03,NA,NA,0.04,0.15,0
"49",0.02,-0.03,NA,NA,0.04,0.15,0.86
"44",NA,-0.03,NA,0.01,0.04,0.15,1.86
"50",NA,-0.03,0,NA,0.04,0.15,2.12
"58",0.02,-0.03,NA,0,0.04,0.15,2.96
"61",0.02,-0.03,0,NA,0.04,0.15,2.98
"59",NA,-0.03,0,0.01,0.04,0.15,3.98
"63",0.02,-0.03,0,0,0.04,0.15,5.08
"18",NA,NA,NA,NA,0.05,0.15,6
"39",0.02,NA,NA,NA,0.05,0.15,6.7
"34",NA,NA,NA,0.01,0.05,0.15,6.93
"40",NA,NA,-0.01,NA,0.05,0.15,7.42
"56",0.02,NA,-0.01,NA,0.04,0.15,8.16
"53",0.01,NA,NA,0.01,0.05,0.15,8.24
"54",NA,NA,-0.01,0.01,0.05,0.15,8.46
"62",0.01,NA,-0.01,0.01,0.05,0.15,9.78
"11",NA,-0.03,NA,NA,NA,0.15,20.03
"30",0.01,-0.03,NA,NA,NA,0.15,21.4
"25",NA,-0.04,NA,-0.01,NA,0.15,21.69
"31",NA,-0.03,-0.01,NA,NA,0.15,22.05
"46",0.02,-0.04,NA,-0.01,NA,0.15,22.51
"51",0.01,-0.03,-0.01,NA,NA,0.15,23.42
"47",NA,-0.03,-0.01,-0.01,NA,0.15,23.72
"60",0.02,-0.03,-0.01,-0.01,NA,0.15,24.55
"6",NA,NA,NA,NA,NA,0.15,27.53
"21",NA,NA,-0.02,NA,NA,0.15,28.17
"20",0.01,NA,NA,NA,NA,0.15,28.72
"41",0.01,NA,-0.02,NA,NA,0.15,29.39
"15",NA,NA,NA,0,NA,0.15,29.64
"37",NA,NA,-0.02,0,NA,0.15,30.27
"36",0.02,NA,NA,0,NA,0.15,30.67
"55",0.02,NA,-0.02,-0.01,NA,0.15,31.3
"8",NA,-0.03,NA,NA,0.05,NA,78.47
"26",0.01,-0.03,NA,NA,0.05,NA,79.9
"22",NA,-0.03,NA,0.01,0.05,NA,80.05
"27",NA,-0.03,0,NA,0.05,NA,80.59
"42",0.01,-0.03,NA,0.01,0.05,NA,81.77
"48",0.01,-0.03,0,NA,0.05,NA,82.02
"43",NA,-0.03,0,0.01,0.05,NA,82.17
"57",0.01,-0.03,0,0.01,0.05,NA,83.89
"3",NA,NA,NA,NA,0.05,NA,84.19
"12",NA,NA,NA,0.01,0.05,NA,84.62
"16",0.01,NA,NA,NA,0.05,NA,85.44
"17",NA,NA,-0.01,NA,0.05,NA,85.64
"33",NA,NA,-0.01,0.01,0.05,NA,86.2
"32",0.01,NA,NA,0.01,0.05,NA,86.43
"38",0.01,NA,-0.01,NA,0.05,NA,86.92
"52",0.01,NA,-0.01,0.01,0.05,NA,88.01
"1",NA,-0.04,NA,NA,NA,NA,98.81
"9",0.01,-0.04,NA,NA,NA,NA,100.58
"7",NA,-0.04,NA,-0.01,NA,NA,100.7
"10",NA,-0.03,0,NA,NA,NA,100.86
"23",0.01,-0.04,NA,-0.01,NA,NA,102.22
"29",0.01,-0.03,0,NA,NA,NA,102.62
"24",NA,-0.04,0,-0.01,NA,NA,102.75
"45",0.01,-0.04,0,-0.01,NA,NA,104.27
"5",NA,NA,-0.02,NA,NA,NA,106.92
"4",0.01,NA,NA,NA,NA,NA,107.78
"2",NA,NA,NA,0,NA,NA,108.27
"19",0.01,NA,-0.02,NA,NA,NA,108.54
"14",NA,NA,-0.02,0,NA,NA,109.03
"13",0.01,NA,NA,0,NA,NA,109.88
"35",0.01,NA,-0.02,0,NA,NA,110.63
